Unnamed: 0,name_x,summary,date,platform,score,url,userscore,ID,developer,publisher,popular_tags,game_details,genre,appid
19,Sid Meier's Civilization V,"With over nine million units sold worldwide, and unprecedented critical acclaim from fans and press around the world, Sid Meier's Civilization is recognized as one of the greatest strategy franchises of all-time. Now, Firaxis Games will take this incredibly fun and addictive strategy game to unprecedented heights by adding new ways to play and win; new tools to manage and expand your civilization; extensive modding capabilities; and intensely competitive multiplayer options. Civilization V will come to life in a beautifully detailed, living world that will elevate the gameplay experience to a whole new level making it a must-have for gamers around the globe!",2010-09-21,PC,90,/game/pc/sid-meiers-civilization-v,8.0,sidmeierscivilizationv,"Firaxis Games,Aspyr (Mac),Aspyr (Linux)","2K,Aspyr (Mac),Aspyr (Linux),2K,Aspyr (Mac),Aspyr (Linux)","Turn-Based Strategy,Strategy,Turn-Based,Multiplayer,Historical,4X,Addictive,Singleplayer,Hex Grid,Grand Strategy,Replay Value,Co-op,Tactical,Economy,Diplomacy,Moddable,Masterpiece,Simulation,Classic,Great Soundtrack","Single-player,Multi-player,Steam Achievements,Steam Trading Cards,Steam Cloud",Strategy,8930
20,Dota 2,Dota 2 features the characters and factions from the original Defense of the Ancients title with new features.,2013-07-09,PC,90,/game/pc/dota-2,6.5,dota2,Valve,"Valve,Valve","Free to Play,MOBA,Multiplayer,Strategy,e-sports,Team-Based,Competitive,Action,Online Co-Op,PvP,Difficult,Co-op,RTS,Tower Defense,Fantasy,RPG,Character Customization,Replay Value,Action RPG,Simulation","Multi-player,Co-op,Steam Trading Cards,Steam Workshop,SteamVR Collectibles,In-App Purchases,Valve Anti-Cheat enabled","Action,Free to Play,Strategy",570
21,Grand Theft Auto IV,"(Also known as ""GTA IV"")  What does the American Dream mean today? For Niko Belic, fresh off the boat from Europe. It's the hope he can escape his past. For his cousin, Roman, it is the vision that together they can find fortune in Liberty City, gateway to the land of opportunity. As they slip into debt and are dragged into a criminal underworld by a series of shysters, thieves and sociopaths, they discover that the reality is very different from the dream in a city that worships money and status, and is heaven for those who have them an a living nightmare for those who don't. The PC version features an ""expanded"" multiplayer mode. [Rockstar Games]",2008-12-02,PC,90,/game/pc/grand-theft-auto-iv,7.1,grandtheftautoiv,"Rockstar North,Rockstar Toronto","Rockstar Games,Rockstar Games","Open World,Action,Bowling,Multiplayer,Third Person,Crime,Adventure,Third-Person Shooter,Sandbox,Singleplayer,Moddable,Shooter,Physics,Atmospheric,Funny,Classic,Dark Humor,Co-op,Gore,Satire","Single-player,Multi-player,Partial Controller Support","Action,Adventure",5152
22,Total War: Shogun 2,"Shogun 2 is the ultimate refinement of the original formula with a new, cutting-edge AI, more polish and online functionality than ever before. The result is the perfect mix of real-time and turn-based strategy gaming that invites both veterans of Total War and new players to experience the enjoyment and depth of the series.",2011-03-15,PC,90,/game/pc/total-war-shogun-2,8.3,totalwarshogun2,"CREATIVE ASSEMBLY,Feral Interactive (Mac),Feral Interactive (Linux)","SEGA,Feral Interactive (Mac),Feral Interactive (Linux),SEGA,Feral Interactive (Mac),Feral Interactive (Linux)","Strategy,Historical,Turn-Based Strategy,RTS,Grand Strategy,Tactical,Singleplayer,Real Time Tactics,Multiplayer,Diplomacy,Ninja,Military,Turn-Based,Co-op,Great Soundtrack,Medieval,Turn-Based Tactics,Stylized,Moddable,Action","Single-player,Multi-player,Co-op,Steam Achievements,Steam Trading Cards,Steam Cloud,Valve Anti-Cheat enabled,Stats",Strategy,34330
23,Devil May Cry 5,"The story is set several years after Devil May Cry 4.
Legendary DMC action returns, made all the more stylish by the power modern gaming has to offer.

Behold stunning visuals built upon the technology that brought you Resident Evil 7 biohazard. High framerate graphics and flexible design give our creators what they need to offer fans the latest and greatest DMC experience.",2019-03-07,PC,89,/game/pc/devil-may-cry-5,8.6,devilmaycry5,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.,CAPCOM Co., Ltd.","Action,Hack and Slash,Great Soundtrack,Demons,Character Action Game,Spectacle fighter,Third Person,Violent,Singleplayer,Classic,Stylized,Gore,Story Rich,Nudity,Multiplayer,Controller,Difficult,Adventure,Anime,Family Friendly","Single-player,Online Multi-Player,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",Action,601150
24,Dark Souls III,"Developed by Japanese developer FromSoftware, DARK SOULS III is the latest chapter in the DARK SOULS series with its trademark sword and sorcery combat and rewarding action RPG gameplay. Players travel across a wide variety of locations in an interconnected world of unrelenting challenge and deep RPG gameplay as they search for a way to survive the coming apocalypse.",2016-04-11,PC,89,/game/pc/dark-souls-iii,8.6,darksoulsiii,"FromSoftware, Inc.","FromSoftware, Inc.,BANDAI NAMCO Entertainment,FromSoftware, Inc.,BANDAI NAMCO Entertainment","Dark Fantasy,Difficult,RPG,Atmospheric,Lore-Rich,Third Person,Exploration,Story Rich,Co-op,Action RPG,PvP,Adventure,Great Soundtrack,Action,Open World,Multiplayer,Singleplayer,Replay Value,Character Customization,Horror","Single-player,Multi-player,Co-op,Steam Achievements,Full controller support,Steam Trading Cards",Action,374320
25,Pillars of Eternity,"Eternity aims to recapture the magic, imagination, depth, and nostalgia of classic RPG's that Obsidian enjoyed making - and playing. Eternity takes the central hero, memorable companions and the epic exploration of Baldur’s Gate, adds in the fun, intense combat and dungeon diving of Icewind Dale, and ties it all together with the emotional writing and mature thematic exploration of Planescape: Torment. Choose to play as one of the six playable races: Human, Aumaua, Dwarf, Elf, Godlike, and Orlan. Whether you're playing a stout Dwarf, a towering Aumaua, or one of the otherworldly Godlike, Eternity's plethora of playable races scratch every role-playing itch you may have and allow for deep character customization. [Obsidian]",2015-03-26,PC,89,/game/pc/pillars-of-eternity,8.3,pillarsofeternity,Obsidian Entertainment,"Paradox Interactive,Paradox Interactive","RPG,Fantasy,Isometric,Story Rich,Singleplayer,CRPG,Party-Based RPG,Real-Time with Pause,Adventure,Kickstarter,Atmospheric,Dark Fantasy,Open World,Exploration,Character Customization,Classic,Strategy,Great Soundtrack,Indie,Crowdfunded","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Commentary available",RPG,291650
26,Slay the Spire,"We fused card games and roguelikes together to make the best single player deckbuilder we could. Craft a unique deck, encounter bizarre creatures, discover relics of immense power, and Slay the Spire!",2019-01-23,PC,89,/game/pc/slay-the-spire,7.6,slaythespire,Mega Crit Games,"Mega Crit Games,Mega Crit Games","Card Game,Rogue-like,Turn-Based,Strategy,Singleplayer,Replay Value,Rogue-lite,Indie,Difficult,Dungeon Crawler,RPG,Early Access,Mouse only,Great Soundtrack,2D,Procedural Generation,Fantasy,Casual,Touch-Friendly,Multiplayer","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats,Steam Leaderboards","Indie,Strategy",646570
27,Left 4 Dead 2,"Set in the zombie apocalypse, Left 4 Dead 2 (L4D2) is the highly anticipated sequel to the award-winning Left 4 Dead. This co-operative action horror FPS takes you and your friends through the cities, swamps and cemeteries of the Deep South, from Savannah to New Orleans across five expansive campaigns. Play as one of four new survivors armed with a wide and devastating array of classic and upgraded weapons. In addition to firearms, you'll also get a chance to take out some aggression on infected with a variety of carnage-creating melee weapons, from chainsaws to axes and even the deadly frying pan. You'll be putting these weapons to the test against (or playing as in Versus) three horrific and formidable new Special Infected. You’ll also encounter five new ""uncommon"" common infected, including the terrifying Mudmen. Helping to take L4D's frantic, action-packed gameplay to the next level is AI Director 2.0. This improved Director has the ability to procedurally change the weather you’ll fight through and the pathways you'll take, in addition to tailoring the enemy population, effects, and sounds to match your performance. L4D2 promises a satisfying and uniquely challenging experience every time the game is played, custom-fitted to your style of play. [Valve]",2009-11-16,PC,89,/game/pc/left-4-dead-2,8.4,left4dead2,Valve,"Valve,Valve","Zombies,Co-op,FPS,Multiplayer,Shooter,Action,Online Co-Op,Survival,Horror,First-Person,Gore,Team-Based,Moddable,Survival Horror,Post-apocalyptic,Singleplayer,Adventure,Replay Value,Local Co-Op,Tactical","Single-player,Multi-player,Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Workshop,Steam Cloud,Valve Anti-Cheat enabled,Stats,Includes Source SDK,Commentary available",Action,550
28,Borderlands 2,"Borderlands 2 advances the distinct blending of FPS and role-playing genres to create an evolution of the Role Playing Shooter. Team up with up to 3 other players for 4-player online goodness or go old-school with 2-player split-screen couch sharing mayhem as you spend hours leveling up your character and equipping them with one of the millions of badass weapons. Borderlands 2 features a new array of procedurally generated guns, shields, grenades, artifacts, enemies and more. Choose one of the 4 new character classes to be taken through a carefully crafted and connected story to all new and surprising environments across the living planet of Pandora. Make new friends, arm them to the teeth and fight alongside them on your relentless quest for revenge and redemption.",2012-09-17,PC,89,/game/pc/borderlands-2,8.2,borderlands2,"Gearbox Software,Aspyr (Mac),Aspyr (Linux)","2K,Aspyr (Mac),Aspyr (Linux),2K,Aspyr (Mac),Aspyr (Linux)","FPS,Co-op,Loot,RPG,Action,Shooter,Open World,Funny,Multiplayer,Comedy,Online Co-Op,Adventure,Action RPG,Dark Humor,Memes,Sci-fi,Singleplayer,Futuristic,Stylized,Atmospheric","Single-player,Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,RPG",49520
29,Pinball FX3,"Pinball FX3 is the biggest, most community focused pinball game ever created. Multiplayer matchups, user generated tournaments and league play create endless opportunity for pinball competition. FREE backwards compatibility! Bring your previous Pinball FX2 purchases with you to Pinball FX3 at no charge!",2017-09-26,PC,89,/game/pc/pinball-fx3,6.9,pinballfx3,Zen Studios,"Zen Studios,Zen Studios","Pinball,Simulation,Arcade,Casual,Free to Play","Single-player,Multi-player,Steam Achievements,Full controller support,Steam Cloud",Simulation,442120
30,Return of the Obra Dinn,Return of the Obra Dinn is a first-person mystery adventure based on exploration and logical deduction.,2018-10-18,PC,89,/game/pc/return-of-the-obra-dinn,8.6,returnoftheobradinn,Lucas Pope,"3909,3909","Detective,Mystery,Story Rich,Singleplayer,Atmospheric,Puzzle,Indie,Adventure,Multiple Endings,Historical,Great Soundtrack,Violent,Difficult,Retro,Pirates,Naval,First-Person,Horror,Noir,Walking Simulator","Single-player,Steam Achievements,Full controller support","Adventure,Indie",653530
31,Stardew Valley,"Stardew Valley is an RPG-style farming game. It's up to you to choose your path... Will you devote your time to raising crops and caring for animals? Will you spend time in the local village, befriending the local townspeople? Do you get a kick out of slaying dreadful monsters in the mysterious mountain caverns? Or will you try to accomplish everything and claim the coveted title of Stardew Hero?",2016-02-26,PC,89,/game/pc/stardew-valley,8.8,stardewvalley,ConcernedApe,"ConcernedApe,ConcernedApe","RPG,Pixel Graphics,Agriculture,Simulation,Relaxing,Crafting,Multiplayer,Sandbox,Indie,Building,Singleplayer,Casual,Great Soundtrack,2D,Open World,Cute,Fishing,Atmospheric,Dating Sim,Retro","Single-player,Multi-player,Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud","Indie,RPG,Simulation",413150
32,What Remains of Edith Finch,What Remains of Edith Finch is a collection of short stories about a cursed family in Washington State.,2017-04-24,PC,89,/game/pc/what-remains-of-edith-finch,8.4,whatremainsofedithfinch,Giant Sparrow,"Annapurna Interactive,Annapurna Interactive","Story Rich,Atmospheric,Walking Simulator,Adventure,First-Person,Exploration,Mystery,Great Soundtrack,Female Protagonist,Singleplayer,Indie,Short,Narration,Dark,Drama,Horror,Visual Novel,Puzzle,Psychological Horror,Lovecraftian","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Adventure,Indie",501300
